Page,Clicks,Impressions,CTR,Position
https://infominer.id/DIDecentralized/identity-github/,12,606,1.98%,23.63
https://infominer.id/learn-crypto-trading/pinescript/,8,293,2.73%,24.48
https://infominer.id/,8,205,3.9%,30.66
https://infominer.id/DIDecentralized/workshops/rebooting-web-of-trust/,6,121,4.96%,26.83
https://infominer.id/DIDecentralized/organizations/identity-foundation/,5,265,1.89%,13.42
https://infominer.id/learn-crypto-trading/chart-patterns/,4,358,1.12%,36.37
https://infominer.id/research/identity-github.html,4,109,3.67%,23.19
https://infominer.id/DIDecentralized/identity-foundation.html,4,62,6.45%,16.02
https://infominer.id/DIDecentralized/,4,57,7.02%,23.58
https://infominer.id/bitcoin-history/smart-contracts/,4,36,11.11%,27.94
https://infominer.id/learn-crypto-trading/candlesticks/,3,325,0.92%,49.05
https://infominer.id/learn-crypto-trading/quant/,3,161,1.86%,49.24
https://infominer.id/DIDecentralized/Indy-Sovrin,3,61,4.92%,15.28
https://infominer.id/DIDecentralized/indy-ecosystem/,2,151,1.32%,20.24
https://infominer.id/transcripts/smart-signatures-christopher-allen/,2,135,1.48%,17.17
https://infominer.id/SourceCrypto/discolog/application/identity-did/,2,103,1.94%,65.38
https://infominer.id/DIDecentralized/standards/,2,83,2.41%,30.24
https://infominer.id/cypherpunks.html,2,69,2.9%,50.93
https://infominer.id/learn-crypto-trading/cryptoqf/,2,33,6.06%,8.27
https://infominer.id/DecentralizedID/rebooting-web-of-trust.html,2,23,8.7%,21.83
https://infominer.id/DIDecentralized/README.html,2,16,12.5%,11.88
https://infominer.id/research/seo-tools.html,1,270,0.37%,53.4
https://infominer.id/DIDecentralized/rebooting-web-of-trust/,1,241,0.41%,33.35
https://infominer.id/web-work/github-pages-starter-pack/,1,161,0.62%,25.55
https://infominer.id/identity-github/,1,115,0.87%,29.17
https://infominer.id/SourceCrypto/discolog/resources/ethresearch/,1,86,1.16%,9.51
https://infominer.id/DIDecentralized/id-initiatives/ethereum/,1,60,1.67%,23.53
https://infominer.id/DIDecentralized/ethereum.html,1,59,1.69%,26.78
https://infominer.id/DIDecentralized/_pages/id-initiatives/ethereum/eth-id-github/,1,56,1.79%,9.73
https://infominer.id/bitcoin-history/permissioned/,1,55,1.82%,54.2
https://infominer.id/blockchain/UnitedNations/,1,53,1.89%,62.21
https://infominer.id/transcripts/VerifiableOrganizationsNetwork-HGF.html,1,33,3.03%,13.12
https://infominer.id/DIDecentralized/ethereum/id-github/,1,29,3.45%,23.34
https://infominer.id/DIDecentralized/indy-ecosystem/VON.html,1,26,3.85%,17.54
https://infominer.id/research/electronic-cash.html,1,26,3.85%,48.81
https://infominer.id/DIDecentralized/toml/id-toml.html,1,25,4%,32.16
https://infominer.id/transcripts/SLP53-Livera-Antonopolis-Maximalism-Transcript/,1,22,4.55%,17.55
https://infominer.id/identity-github.html,1,20,5%,16.1
https://infominer.id/DIDecentralized/literature/,1,20,5%,39.25
https://infominer.id/SourceCrypto/discolog/,1,18,5.56%,19.06
https://infominer.id/RebootingWebofTrust/,1,14,7.14%,9.43
https://infominer.id/DIDecentralized/id-initiatives/indy-ecosystem/,1,14,7.14%,29.86
https://infominer.id/web-work/,1,11,9.09%,20.18
https://infominer.id/SourceCrypto/discolog/resources/books/,1,11,9.09%,29.18
https://infominer.id/DIDecentralized/_pages/hgf-2018/,1,10,10%,22.6
https://infominer.id/bitcoin-history/blockchain-bahamas-crypto-caribbean/,1,9,11.11%,53.78
https://infominer.id/DIDecentralized/state-sponsored.html,1,6,16.67%,35.67
https://infominer.id/DIDecentralized/indy-ecosystem/sovrin.foundation.html,1,5,20%,26.8
https://infominer.id/learn-crypto-trading/candlesticks/#three-stars-in-the-south,1,5,20%,38.2
https://infominer.id/SourceCrypto/discolog/resources/communities/,1,4,25%,3.25
,0,679,0%,52.83
,0,420,0%,66.1
,0,269,0%,55.35
,0,237,0%,31.67
,0,169,0%,65
,0,135,0%,30.2
,0,118,0%,66.39
,0,108,0%,67.03
,0,98,0%,60.73
,0,81,0%,31.06
,0,76,0%,41.33
,0,74,0%,76.55
,0,65,0%,25.77
,0,64,0%,50.05
,0,63,0%,144.16
,0,62,0%,41.74
,0,58,0%,50.34
,0,52,0%,50.08
,0,50,0%,74.3
,0,48,0%,75.33
,0,42,0%,16.74
,0,38,0%,72.95
,0,37,0%,29.46
,0,37,0%,31.27
,0,37,0%,34.11
,0,37,0%,50.51
,0,35,0%,32.23
,0,34,0%,8.56
,0,34,0%,41.21
,0,33,0%,28.42
,0,31,0%,26.19
,0,30,0%,7.33
,0,30,0%,13.67
,0,30,0%,40.53
,0,29,0%,86.03
,0,28,0%,11.5
,0,28,0%,27.36
,0,27,0%,28.78
,0,25,0%,26.44
,0,25,0%,33.4
,0,24,0%,88.96
,0,23,0%,34.39
,0,22,0%,56.5
,0,21,0%,6.43
,0,21,0%,84.29
,0,20,0%,30.6
,0,20,0%,44.25
,0,19,0%,26.11
,0,19,0%,45.21
,0,19,0%,64.53
,0,18,0%,11.89
,0,18,0%,32.5
,0,18,0%,40.11
,0,17,0%,12.18
,0,17,0%,27.06
,0,17,0%,93.76
,0,16,0%,12.94
,0,16,0%,32.69
,0,16,0%,40.31
,0,16,0%,43.38
,0,16,0%,56.06
,0,16,0%,63.88
,0,15,0%,8.93
,0,15,0%,19.07
,0,15,0%,26.27
,0,15,0%,44.4
,0,14,0%,15.07
